Player,Sentiment
"Precious Achiuwa","0.14559284921382087"
"Steven Adams","0.7950159975022673"
"Bam Adebayo","0.4186275846432862"
"Santi Aldama","0.04084773210079384"
"LaMarcus Aldridge","0.5089494351479003"
"Nickeil Alexander-Walker","0.9832238995106066"
"Grayson Allen","0.6694275174374099"
"Jarrett Allen","0.2169363514271091"
"Jose Alvarado","0.25214151931821027"
"Justin Anderson","0.6560730304762696"
"Kyle Anderson","0.8927876110960016"
"Giannis Antetokounmpo","0.15785638285539838"
"Thanasis Antetokounmpo","0.11645206591685298"
"Carmelo Anthony","0.7823577266107526"
"Cole Anthony","0.5677657833656243"
"OG Anunoby","0.7891937036392468"
"Trevor Ariza","0.12884077461889587"
"D.J. Augustin","0.06566613160520107"
"Deni Avdija","0.2091885686824435"
"Joel Ayayi","0.5228292752326835"
"Deandre Ayton","0.5339424454946301"
"Udoka Azubuike","0.9308767235569918"
"Marvin Bagley III","0.6174185617350637"
"LaMelo Ball","0.7222048591738799"
"Lonzo Ball","0.5299779484464063"
"Mo Bamba","0.7772110768671345"
"Desmond Bane","0.6957352951991328"
"Dalano Banton","0.5721363095464888"
"Cat Barber","0.8152284275287455"
"Harrison Barnes","0.38539066334332095"
"Scottie Barnes","0.02106815967075959"
"RJ Barrett","0.12823982437627957"
"Will Barton","0.7354688661601736"
"Paris Bass","0.14584777973754126"
"Charles Bassey","0.0952361507760946"
"Keita Bates-Diop","0.9955927546937616"
"Nicolas Batum","0.1809627026644154"
"Kent Bazemore","0.9952755203341662"
"Darius Bazley","0.9637663325913546"
"Bradley Beal","0.5094701654458637"
"Malik Beasley","0.3928620315918465"
"Jordan Bell","0.4372887275918883"
"DeAndre' Bembry","0.43954543186640993"
"Dāvis Bertāns","0.7262716120530286"
"Patrick Beverley","0.356388270195408"
"Saddiq Bey","0.6844329970124348"
"Khem Birch","0.5548932382831625"
"Goga Bitadze","0.4764717760182078"
"Bismack Biyombo","0.585136139969264"
"Nemanja Bjelica","0.36053392134681594"
"Eric Bledsoe","0.7185487882551448"
"Keljin Blevins","0.6080476198463093"
"Bogdan Bogdanović","0.6545754649442029"
"Bojan Bogdanović","0.3606391337450622"
"Bol Bol","0.028965924964577616"
"Leandro Bolmaro","0.6673425716935522"
"Isaac Bonga","0.6426235537274345"
"Devin Booker","0.0907969313478334"
"Brandon Boston Jr.","0.522242578699189"
"Chris Boucher","0.12739121801425857"
"James Bouknight","0.5939279624548315"
"Avery Bradley","0.7520530189308774"
"Tony Bradley","0.39007373939652823"
"Ignas Brazdeikis","0.4626657556291929"
"Mikal Bridges","0.36677656592593355"
"Miles Bridges","0.2978277857042331"
"Oshae Brissett","0.48203240761227284"
"Malcolm Brogdon","0.5220341355345426"
"Armoni Brooks","0.2325500100714163"
"Dillon Brooks","0.4126413549845477"
"Bruce Brown","0.25916279983065316"
"Charlie Brown Jr.","0.8089765086111279"
"Chaundee Brown Jr.","0.12328725499786364"
"Greg Brown III","0.6073918494861728"
"Jaylen Brown","0.7393276029317625"
"Moses Brown","0.310646351931113"
"Sterling Brown","0.4612714905564873"
"Troy Brown Jr.","0.766612037857883"
"Jalen Brunson","0.05224794157838186"
"Thomas Bryant","0.3239005052676208"
"Shaq Buchanan","0.05356350299343415"
"Reggie Bullock","0.7910033045750152"
"Trey Burke","0.2901706976685001"
"Alec Burks","0.9364059984783066"
"Jared Butler","0.1098356569136667"
"Jimmy Butler","0.1638266706045397"
"Devontae Cacok","0.8299317612474296"
"Kentavious Caldwell-Pope","0.8572613393032529"
"Facundo Campazzo","0.49014278285425805"
"Vlatko Čančar","0.8232834982080756"
"Clint Capela","0.6455733323444407"
"Vernon Carey Jr.","0.7728531675935414"
"Jevon Carter","0.00268432958385878"
"Wendell Carter Jr.","0.5699829224590666"
"Alex Caruso","0.6633111455709836"
"Willie Cauley-Stein","0.3080423876148962"
"Ahmad Caver","0.7727008514443304"
"Justin Champagnie","0.07101934169516522"
"Zylan Cheatham","0.17498657532069617"
"Chris Chiozza","0.8533449718260481"
"Marquese Chriss","0.4366206627954947"
"Josh Christopher","0.9460128879325613"
"Gary Clark","0.975582192677961"
"Brandon Clarke","0.5617889132177438"
"Jordan Clarkson","0.943675100178827"
"Nic Claxton","0.1712153756242868"
"Amir Coffey","0.5416247358060854"
"John Collins","0.028218583010077847"
"Darren Collison","0.19531169545963734"
"Mike Conley","0.07184115702060023"
"Pat Connaughton","0.16061629943350764"
"Tyler Cook","0.4453898946583651"
"Sharife Cooper","0.24926164072697765"
"Petr Cornelie","0.9738148444662516"
"DeMarcus Cousins","0.37596239380663965"
"Robert Covington","0.06822271556378656"
"Torrey Craig","0.8997039787561283"
"Jae Crowder","0.12053011290365523"
"Jarrett Culver","0.13994803294781644"
"Jarron Cumberland","0.44879826013169455"
"Cade Cunningham","0.5507897344582673"
"Seth Curry","0.4643547202956826"
"Stephen Curry","0.2750009157000495"
"Anthony Davis","0.21316568912046785"
"Ed Davis","0.008480007062421246"
"Terence Davis","0.7789254075238096"
"Gabriel Deck","0.5448763781035688"
"Dewayne Dedmon","0.40947342604361847"
"Sam Dekker","0.10723681816629016"
"Javin DeLaurier","0.2994690350681417"
"DeMar DeRozan","0.704917020695474"
"Mamadi Diakite","0.03312441241744957"
"Cheick Diallo","0.8913941501276469"
"Hamidou Diallo","0.24512555531991997"
"Gorgui Dieng","0.6901210162088847"
"Spencer Dinwiddie","0.38855391198392664"
"Donte DiVincenzo","0.4741063381513434"
"Luka Dončić","0.9408112977718613"
"Luguentz Dort","0.6968062756427297"
"Ayo Dosunmu","0.20756467379523436"
"Damyean Dotson","0.7946665090164343"
"Devon Dotson","0.20475310256493107"
"Sekou Doumbouya","0.5309954544779455"
"Jeff Dowtin","0.6125780888669387"
"PJ Dozier","0.41489361327380647"
"Goran Dragić","0.8880098476991705"
"Andre Drummond","0.18145831074897534"
"Chris Duarte","0.029411847853689665"
"David Duke Jr.","0.2554323948478311"
"Kevin Durant","0.15696214998796032"
"Jaime Echenique","0.41761261746610945"
"Anthony Edwards","0.6862600155427203"
"Kessler Edwards","0.1833655803644827"
"Rob Edwards","0.9047880298677621"
"CJ Elleby","0.9827575080717865"
"Wayne Ellington","0.4023938146043917"
"Joel Embiid","0.664673160617433"
"James Ennis III","0.8147415037052246"
"Drew Eubanks","0.41355324504396407"
"Tacko Fall","0.3276464617921444"
"Derrick Favors","0.4172551373892609"
"Bruno Fernando","0.4622639438371403"
"Dorian Finney-Smith","0.6684029027566211"
"Malik Fitts","0.3868067295343006"
"Malachi Flynn","0.0378844726501425"
"Bryn Forbes","0.16705092460296345"
"Aleem Ford","0.08946627507270932"
"Trent Forrest","0.0012817558601752044"
"Evan Fournier","0.9989590665997038"
"De'Aaron Fox","0.49576406360309144"
"Tim Frazier","0.24010513823650204"
"Enes Freedom","0.6990383539963375"
"Wenyen Gabriel","0.607492820861423"
"Daniel Gafford","0.5159511431129892"
"Danilo Gallinari","0.055850971201082955"
"Langston Galloway","0.9157387462273048"
"Darius Garland","0.3021415595604975"
"Marcus Garrett","0.29737621607027986"
"Usman Garuba","0.5216933112184701"
"Luka Garza","0.41487752271810574"
"Rudy Gay","0.6513298804820989"
"Paul George","0.6339913797380285"
"Taj Gibson","0.48302729540851075"
"Josh Giddey","0.9977289014482471"
"Shai Gilgeous-Alexander","0.8565592780270364"
"Anthony Gill","0.8485874095802027"
"Freddie Gillespie","0.2127428489758857"
"Rudy Gobert","0.1860930334071641"
"Brandon Goodwin","0.1987000033701799"
"Jordan Goodwin","0.8835689309896892"
"Aaron Gordon","0.3898898053775586"
"Eric Gordon","0.6752004141239083"
"Devonte' Graham","0.7710792626564943"
"Jerami Grant","0.9837208358008399"
"Hassani Gravett","0.5993969052718715"
"Danny Green","0.9293900503740392"
"Draymond Green","0.7470682023258938"
"Jalen Green","0.33364068149684845"
"JaMychal Green","0.6330742986953483"
"Javonte Green","0.4172536199766075"
"Jeff Green","0.8077625759947654"
"Josh Green","0.9315736400159275"
"Blake Griffin","0.09220514740383412"
"Quentin Grimes","0.024336611039407652"
"Kyle Guy","0.8333223078501687"
"Rui Hachimura","0.3088560734761512"
"Tyrese Haliburton","0.08143211681044638"
"Tyler Hall","0.5903381176037082"
"R.J. Hampton","0.3686841738607508"
"Tim Hardaway Jr.","0.31283143222068743"
"James Harden","0.02424204622275039"
"Maurice Harkless","0.38062286455352434"
"Jared Harper","0.9828556329417039"
"Montrezl Harrell","0.8298313231046731"
"Gary Harris","0.9588382960319026"
"Joe Harris","0.7678750857219313"
"Tobias Harris","0.40461912895843155"
"Shaquille Harrison","0.7738114100127925"
"Josh Hart","0.18138507580421415"
"Isaiah Hartenstein","0.7912088933602398"
"Udonis Haslem","0.2655276361816339"
"Sam Hauser","0.3036705767421707"
"Jaxson Hayes","0.894630269259309"
"Killian Hayes","0.04467319939587766"
"Gordon Hayward","0.49826542408463914"
"Aaron Henry","0.8853504378177475"
"Juancho Hernangómez","0.18647656498635823"
"Willy Hernangómez","0.3928747383195633"
"Tyler Herro","0.20827879449471587"
"Buddy Hield","0.053503354269532455"
"Haywood Highsmith","0.04485005289754951"
"George Hill","0.9893780317764315"
"Malcolm Hill","0.04663592973528963"
"Solomon Hill","0.3368174941037855"
"Nate Hinton","0.9759696862660836"
"Jaylen Hoard","0.36353791220745857"
"Aaron Holiday","0.5751677565271927"
"Jrue Holiday","0.04653456232071185"
"Justin Holiday","0.6595779328365047"
"Richaun Holmes","0.5520844525418017"
"Rodney Hood","0.01955383557727941"
"Scotty Hopson","0.04597956014651605"
"Al Horford","0.9962268313892938"
"Talen Horton-Tucker","0.430347021495314"
"Danuel House Jr.","0.36957635215673046"
"Dwight Howard","0.32926309875531834"
"Markus Howard","0.5978988701323759"
"Kevin Huerter","0.2628851145476089"
"Jay Huff","0.5701508887939015"
"Elijah Hughes","0.36734484823589364"
"De'Andre Hunter","0.1183606265655549"
"Chandler Hutchison","0.8443538203510915"
"Bones Hyland","0.8541111996071422"
"Serge Ibaka","0.14608646238579426"
"Andre Iguodala","0.890078533201708"
"Joe Ingles","0.39350347036646427"
"Brandon Ingram","0.6166395537298174"
"Kyrie Irving","0.5116081096232746"
"Wes Iwundu","0.8747982508797262"
"Frank Jackson","0.7206511240915591"
"Isaiah Jackson","0.08565763147370875"
"Jaren Jackson Jr.","0.597627989112772"
